title                                                                                                                                               datetime                     link                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Nonreciprocal quantum batteries exhibit remarkable capacities and efficiency                                                                        2024-06-08 13:06:43.364080   news.google.com/articles/CBMiWGh0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDI0LTA2LW5vbnJlY2lwcm9jYWwtcXVhbnR1bS1iYXR0ZXJpZXMtcmVtYXJrYWJsZS1jYXBhY2l0aWVzLmh0bWzSAVdodHRwczovL3BoeXMub3JnL25ld3MvMjAyNC0wNi1ub25yZWNpcHJvY2FsLXF1YW50dW0tYmF0dGVyaWVzLXJlbWFya2FibGUtY2FwYWNpdGllcy5hbXA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                              
D-Wave Extends Agreement with Aramco Europe to Explore Quantum-Powered Optimization of Geophysical Problems                                         2024-06-08 13:06:43.366610   news.google.com/articles/CBMilQFodHRwczovL3RoZXF1YW50dW1pbnNpZGVyLmNvbS8yMDI0LzA2LzA4L2Qtd2F2ZS1leHRlbmRzLWFncmVlbWVudC13aXRoLWFyYW1jby1ldXJvcGUtdG8tZXhwbG9yZS1xdWFudHVtLXBvd2VyZWQtb3B0aW1pemF0aW9uLW9mLWdlb3BoeXNpY2FsLXByb2JsZW1zL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                               
Quantum sensing's immense potential for many sectors                                                                                                2024-06-09 13:06:23.504954   news.google.com/articles/CBMilAFodHRwczovL3d3dy5tY2tpbnNleS5jb20vY2FwYWJpbGl0aWVzL21ja2luc2V5LWRpZ2l0YWwvb3VyLWluc2lnaHRzL3RlY2gtZm9yd2FyZC9xdWFudHVtLXNlbnNpbmctcG9pc2VkLXRvLXJlYWxpemUtaW1tZW5zZS1wb3RlbnRpYWwtaW4tbWFueS1zZWN0b3Jz0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                 
Tricorder Tech: Using Solid State Quantum Magnetometers To Seek Out Water Worlds - Astrobiology                                                     2024-06-09 13:06:43.366610   news.google.com/articles/CBMidWh0dHBzOi8vYXN0cm9iaW9sb2d5LmNvbS8yMDI0LzA2L3RyaWNvcmRlci10ZWNoLXVzaW5nLXNvbGlkLXN0YXRlLXF1YW50dW0tbWFnbmV0b21ldGVycy10by1zZWVrLW91dC13YXRlci13b3JsZHMuaHRtbNIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                           
Qiskit Global Summer School 2024                                                                                                                    2024-06-10 13:06:43.358900   news.google.com/articles/CBMiOmh0dHBzOi8vd3d3LmlibS5jb20vcXVhbnR1bS9ibG9nL3Fpc2tpdC1zdW1tZXItc2Nob29sLTIwMjTSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                                          
Novel quantum sensor breaks limits of optical measurement using entanglement                                                                        2024-06-10 13:06:43.358900   news.google.com/articles/CBMiTWh0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDI0LTA2LXF1YW50dW0tc2Vuc29yLWxpbWl0cy1vcHRpY2FsLWVudGFuZ2xlbWVudC5odG1s0gFMaHR0cHM6Ly9waHlzLm9yZy9uZXdzLzIwMjQtMDYtcXVhbnR1bS1zZW5zb3ItbGltaXRzLW9wdGljYWwtZW50YW5nbGVtZW50LmFtcA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                           
PINQ² partners with Enterprise Quantum                                                                                                              2024-06-10 13:06:43.358900   news.google.com/articles/CBMiR2h0dHBzOi8vd3d3LmVwdC5jYS8yMDI0LzA2L3BpbnElQzIlQjItcGFydG5lcnMtd2l0aC1lbnRlcnByaXNlLXF1YW50dW0v0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                         
'Quantum optical antennas' provide more powerful measurements on the atomic level                                                                   2024-06-10 13:06:43.364080   news.google.com/articles/CBMiS2h0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDI0LTA2LXF1YW50dW0tb3B0aWNhbC1hbnRlbm5hcy1wb3dlcmZ1bC1hdG9taWMuaHRtbNIBSmh0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDI0LTA2LXF1YW50dW0tb3B0aWNhbC1hbnRlbm5hcy1wb3dlcmZ1bC1hdG9taWMuYW1w?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                 
Samsung Launches 2024 QLED 4K Premium TV Series with Quantum Dot Feature, 4K Upscaling Starting INR 65990                                           2024-06-10 13:06:43.366610   news.google.com/articles/CBMihAFodHRwczovL25ld3Muc2Ftc3VuZy5jb20vaW4vc2Ftc3VuZy1sYXVuY2hlcy0yMDI0LXFsZWQtNGstcHJlbWl1bS10di1zZXJpZXMtd2l0aC1xdWFudHVtLWRvdC1mZWF0dXJlLTRrLXVwc2NhbGluZy1zdGFydGluZy1pbnItNjU5OTDSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                      
SeQUeNCe: Simulator of QUantum Network Communication                                                                                                2024-06-10 13:06:43.366610   news.google.com/articles/CBMiR2h0dHBzOi8vd3d3LmFubC5nb3Yvc2VxdWVuY2Utc2ltdWxhdG9yLW9mLXF1YW50dW0tbmV0d29yay1jb21tdW5pY2F0aW9u0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                         
